5-digit FIPS Code,State Abbreviation,Name,Release Year,Poor or Fair Health raw value,Poor Physical Health Days raw value,Poor Mental Health Days raw value,Adult Smoking raw value,Adult Obesity raw value,Food Environment Index raw value,Physical Inactivity raw value,Access to Exercise Opportunities raw value,Excessive Drinking raw value,Alcohol-Impaired Driving Deaths raw value,Sexually Transmitted Infections raw value,Teen Births raw value,Mental Health Providers raw value,Ratio of population to mental health providers.,Preventable Hospital Stays raw value,Income Inequality raw value,High School Completion raw value,Unemployment raw value,Income Inequality raw value,Children in Single-Parent Households raw value,Social Associations raw value,Air Pollution - Particulate Matter raw value,Drinking Water Violations raw value,Severe Housing Problems raw value,Percentage of households with high housing costs,Percentage of households with overcrowding,Percentage of households with lack of kitchen or plumbing facilities,Driving Alone to Work raw value,Life Expectancy raw value,Frequent Mental Distress raw value,Food Insecurity raw value,Food Insecurity numerator,Limited Access to Healthy Foods raw value,Drug Overdose Deaths raw value,Insufficient Sleep raw value,Uninsured Adults raw value,Uninsured Children raw value,Ratio of population to primary care providers other than physicians.,High School Graduation raw value,Disconnected Youth raw value,School Segregation raw value,School Funding Adequacy raw value,Gender Pay Gap raw value,Median Household Income raw value,Children Eligible for Free or Reduced Price Lunch raw value,Residential Segregation - Black/White raw value,Child Care Cost Burden raw value,Child Care Centers raw value,Homicides raw value,Suicides raw value,Crude suicide rate,Firearm Fatalities raw value,Motor Vehicle Crash Deaths raw value,Census Participation raw value,Homeownership raw value,Severe Housing Cost Burden raw value,Broadband Access raw value,Population raw value,% Below 18 Years of Age raw value,% 65 and Older raw value,% Non-Hispanic Black raw value,% American Indian or Alaska Native raw value,% Asian raw value,% Native Hawaiian or Other Pacific Islander raw value,% Hispanic raw value,% Non-Hispanic White raw value,% Not Proficient in English raw value,% Female raw value,% Rural raw value
0,US,United States,2024,0.142,3.346299949,4.817121948,0.15,0.34,7.7,0.229,0.8414404405,0.1811038813,0.2630906969,495.5,16.58036919,0.0031389771,318.5751208,2681,4.902842293,0.8914404664,0.0365013604,4.902842293,0.2493158226,9.085618652,7.35,,0.1673889139,0.1352220021,0.0331876579,0.0098807381,0.7167332819,77.58533723,0.1519734744,0.104,33844000,0.0610019647,27.19515668,0.330131,0.1211286474,0.0531889501,761.0938352,0.861605,0.069448414,0.2404407097,634.0391,0.8137495225,74755,0.5076028785,62.69592257,0.2707412471,6.863866828,6.275638002,13.94202751,14.42760563,12.98328647,12.03541504,0.652,0.6481638608,0.1449152944,0.8834669636,333287557,0.2173823339,0.17340837,0.1262287479,0.0131485077,0.0628704569,0.0026367861,0.1910192705,0.5887587517,0.040955371,0.504081237,0.2000313707
1000,AL,Alabama,2024,0.178,3.934735403,5.869319841,0.179,0.406,5.4,0.299,0.6133379536,0.1447752596,0.25126369,625.2,24.92988074,0.0013509263,740.2328228,3280,5.212687998,0.8771539906,0.0259676576,5.212687998,0.3058752993,11.69472985,9.3,0.223880597,0.1308124681,0.1117015101,0.016650737,0.008564976,0.8282502403,73.70786097,0.1957826862,0.148,746550,0.0876054853,21.56130198,0.3924300962,0.1462890789,0.0411409883,865.0351176,0.9075805793,0.0801828751,0.2749319439,-7911.501,0.7448232257,59703,0.4917407981,57.39338222,0.2660406886,5.509231686,12.13118413,16.23475175,16.57516084,23.22634003,20.58836913,,0.6971999069,0.12266376,0.8378641078,5074296,0.2190573825,0.1802679623,0.26430898,0.0071586285,0.0158869329,0.0010949302,0.0493177773,0.6471171567,0.0104749848,0.5137532379,0.4226276049
1001,AL,Autauga County,2024,0.173,3.910265059,5.703204125,0.169,0.389,6.7,0.291,0.5449196497,0.1523782151,0.2909090909,577,20.90888049,0.0003681454,2716.318182,3915,4.637675394,0.9040260774,0.0226958826,4.637675394,0.2270250636,12.69142906,10,0,0.1537569573,0.1320843091,0.0160018553,0.0157699443,0.8542784211,75.26349707,0.18,0.133,7770,0.1302099797,9.350764717,0.375,0.1240741788,0.0404124861,1991.966667,0.87,0.0724250519,0.0515393092,-3606.782,0.7461655149,70148,0.2799859715,29.38240388,0.1973399099,5.726341169,6.616163287,17.4574792,18.07139263,17.36271057,18.06721513,0.688,0.7545275238,0.1127935868,0.8906670253,59759,0.2322830034,0.1641091718,0.210110611,0.0047189545,0.0117806523,0.0012215733,0.0338191737,0.7205107181,0.0036648553,0.5129603909,0.406768132
1003,AL,Baldwin County,2024,0.152,3.730942868,5.373666151,0.15,0.372,7.5,0.276,0.6312934973,0.1642256356,0.3614457831,317.6,20.20223706,0.0011037393,906.0110294,2799,4.482449247,0.9159931027,0.0235004716,4.482449247,0.1905128725,9.653397076,7.6,1,0.1242786602,0.1056477211,0.0152299363,0.0063656375,0.8134699854,76.73831389,0.173,0.118,26830,0.0793677936,25.72942188,0.351,0.1337624333,0.0493694306,1196.286408,0.8865171392,0.0824827586,0.0909458578,-537.1533,0.722548599,71704,0.3699560761,39.54396112,0.2015229276,6.231823847,3.388202669,18.79012618,18.9760928,14.34343164,15.8333317,0.564,0.7787053149,0.1230185411,0.8892094888,246435,0.2080386309,0.2192870331,0.0822488689,0.0081076146,0.0115608578,0.0006654899,0.0503621645,0.8297847303,0.0078665799,0.5123906913,0.3758645536
1005,AL,Barbour County,2024,0.273,5.023488318,6.01429402,0.25,0.434,6,0.402,0.5485469611,0.1227719794,0.3142857143,729,36.61853944,0.000283332,3529.428571,3040,5.57679679,0.7649222065,0.0406504065,5.57679679,0.5066045066,8.412113443,9.4,0,0.150751073,0.1168361582,0.0375536481,0.0053648069,0.8205251169,72.37702423,0.205,0.178,4500,0.1043317167,,0.439,0.1631146861,0.0389761489,1235.3,0.8544097996,,0.0388895948,-23626.58,0.7774433388,41151,0.5656511906,19.07864539,0.2545989162,5.303030303,13.00581303,13.42681003,14.47061661,26.52946378,29.40444686,0.545,0.6497338066,0.107662697,0.6822315883,24706,0.2036347446,0.2062252085,0.4719501336,0.0072452036,0.0046952157,0.0027928438,0.0509997571,0.4527240346,0.0198065994,0.4712215656,0.6591999366
1007,AL,Bibb County,2024,0.22,4.552794934,5.824583393,0.22,0.396,7.6,0.36,0.4339030189,0.14785821,0.1538461538,662.9,31.92297948,0.0004998864,2000.454546,4651,5.66923661,0.7886342229,0.02509741,5.66923661,0.3071337035,8.897984607,9.8,0,0.1225895317,0.0909090909,0.0123966942,0.0199724518,0.8798363095,72.25136909,0.194,0.149,3350,0.0044586621,22.3857209,0.4,0.1408211191,0.0394965278,709.8387097,0.88,,0.0898022166,-6970.646,0.8088058161,54309,0.4899219766,32.0713632,0.2370141229,5.016722408,9.535858005,17.05022054,16.06067366,20.52197189,24.79323081,0.56,0.7573447894,0.1040428062,0.7971175166,22005,0.1974551238,0.1780504431,0.2073619632,0.0057259714,0.0029084299,0.0013178823,0.0317655078,0.739968189,0.0028918176,0.4648943422,1
1009,AL,Blount County,2024,0.186,4.246335182,5.664850612,0.196,0.377,7.7,0.304,0.4135522711,0.1494611482,0.130952381,318.4,25.12323104,0.0002688533,3719.5,2499,4.611946363,0.8175515104,0.0222515119,4.611946363,0.229694775,7.621822124,9.6,0,0.1065786371,0.0802606178,0.0181089366,0.0134402264,0.8489468076,73.37656812,0.188,0.137,8040,0.0251220602,21.1735891,0.373,0.1609726338,0.0474347245,2833.904762,0.9791962775,0.0973301791,0.1047763317,-2788.999,0.8763786953,60553,0.4316380449,62.71640501,0.3471008868,4.903374676,5.911679508,22.21925155,22.02347565,18.23819077,30.54367746,0.667,0.7927494682,0.0924652524,0.8272449829,59512,0.2270466461,0.1909026751,0.0172738271,0.0063348568,0.0043520634,0.00131066,0.1007023794,0.8599274096,0.0219519644,0.5029069767,0.9048939696
1011,AL,Bullock County,2024,0.307,5.152511842,5.973144781,0.257,0.489,4.2,0.436,0.4234817032,0.115288295,0.2692307692,823.6,37.4301676,0.00019604,5101,2268,7.145819779,0.7337898267,0.0281071585,7.145819779,0.6304647952,5.813953488,9.3,0,0.0962099125,0.0976377953,0.0102040816,0,0.8861103561,72.10011162,0.205,0.156,1620,0.3233919039,,0.46,0.1635354398,0.0295475531,1700.333333,0.825,,0.0090371541,-38452.98,0.6714965293,35798,0.7581427581,34.58410715,0.3866975809,5.376344086,19.47094657,,,27.53520573,55.6312759,0.488,0.6466666667,0.1633877959,0.6101449275,10202,0.2110370516,0.1778082729,0.6733973731,0.0093118996,0.0031366399,0.0075475397,0.0935110763,0.2175063713,0.0176121237,0.4458929622,1
1013,AL,Butler County,2024,0.234,4.627377057,6.080885157,0.211,0.42,7.2,0.365,0.4272216682,0.1282113141,0.2833333333,1090.9,34.83499214,0.0008579088,1165.625,3396,4.87873345,0.8759234132,0.034189005,4.87873345,0.3927727917,9.002330015,9.1,1,0.115037594,0.098697318,0.0112781955,0.0090225564,0.8608331079,73.1898895,0.199,0.138,2640,0.0691828694,17.29026904,0.409,0.1508065286,0.0390734675,1036.111111,0.8,,0.1212558709,-15080.51,0.7776982601,41852,0.7106252135,23.85090978,0.3416563127,4.599816007,17.4554341,11.88373813,11.30047976,24.6555922,38.54741696,0.558,0.7077548731,0.1158335828,0.7851633712,18650,0.2239678284,0.2153887399,0.4418766756,0.0047184987,0.0150134048,0.000536193,0.0182841823,0.5076675603,0.0006693814,0.530080429,0.6943467535
1015,AL,Calhoun County,2024,0.208,4.499556522,5.696611047,0.208,0.389,5.9,0.341,0.6669386213,0.1353990576,0.1047619048,545,25.97987686,0.0015804747,632.7213115,3491,4.875970817,0.8507177155,0.0303207629,4.875970817,0.3271915817,13.6239782,9.7,0,0.105676464,0.0917681885,0.0121157729,0.0076284496,0.8522229948,71.69407783,0.191,0.156,18210,0.15398073,23.32048763,0.381,0.1657237539,0.0429063334,1113.346154,0.9197126437,0.0818697649,0.1895589264,-10277.2302,0.7586259223,52772,0.5117602205,46.05695224,0.2274691124,5.509231686,10.47013394,21.95714444,22.37562735,26.57105748,21.6881346,0.636,0.7091490837,0.1129611492,0.8334191037,115788,0.2111790514,0.1860382769,0.2202646215,0.0053459771,0.008826476,0.001131378,0.0434500985,0.7020071165,0.0050429057,0.5135851729,0.3649401843
1017,AL,Chambers County,2024,0.22,4.504783494,5.81221167,0.203,0.439,7.2,0.35,0.637524445,0.128128424,0.25,645.6,30.47313553,0.0001173433,8522,3163,4.737707317,0.8345745973,0.0257327559,4.737707317,0.2532720691,17.66017197,9.8,0,0.1612665685,0.0869402985,0.0714285714,0.0110456554,0.8555252387,72.46019745,0.195,0.133,4630,0.0810298845,14.90164912,0.434,0.1567883357,0.0390203404,3787.555556,0.8650172414,0.1740216486,0.1316636213,-26351.235,0.7685251875,45563,0.6643502432,31.21146322,0.3342843974,5.836575876,11.01909694,18.7018031,19.6442603,23.81122461,27.54774236,0.583,0.7217530244,0.0997613365,0.7816328083,34088,0.2071990143,0.207257686,0.3927481812,0.0041950246,0.0087714152,0.0009387468,0.0359363999,0.5445024642,0.0027055279,0.5232046468,0.5074485218
1019,AL,Cherokee County,2024,0.206,4.46306382,6.228824759,0.222,0.378,7.2,0.328,0.3820832165,0.1435729023,0.1111111111,276,29.60203882,0.0005533159,1807.285714,4153,4.520771583,0.8192517411,0.0234268126,4.520771583,0.2929164008,9.201472236,9.5,0,0.0742962621,0.0608899297,0.0133825565,0.0041532072,0.8537553329,72.71162974,0.201,0.147,3660,0.0500865225,20.64889141,0.382,0.1580890034,0.0446028513,1012.08,0.92,,0.0571417872,-1664.026,0.8783388938,52613,0.5353016688,47.52591275,0.2200216676,5.509641873,8.289170475,23.14907864,24.73429952,25.50724638,32.05145917,0.457,0.7974392318,0.0882416631,0.77823347,25302,0.1863884278,0.2443285116,0.0398782705,0.0081021263,0.004387005,0.0007114062,0.020828393,0.9103628172,0.0094907601,0.4962058335,1
